time,MP2.5,temperature_2m,relative_humidity_2m
2016-03-10 15:00:00+00:00,12.0,26.501,64.45035
2016-03-10 16:00:00+00:00,9.0,27.001,64.75711
2016-03-10 17:00:00+00:00,16.0,26.601,66.50483
2016-03-10 18:00:00+00:00,12.0,26.701,67.353714
2016-03-10 19:00:00+00:00,7.0,26.001,70.41227
2016-03-10 20:00:00+00:00,11.0,24.951,75.876205
2016-03-10 21:00:00+00:00,13.0,23.801,79.547775
2016-03-10 22:00:00+00:00,19.0,22.901001,83.212364
2016-03-10 23:00:00+00:00,9.0,22.401001,85.775764
2016-03-11 00:00:00+00:00,9.0,22.201,86.82588
2016-03-11 01:00:00+00:00,14.0,21.951,87.34292
2016-03-11 02:00:00+00:00,7.0,21.701,88.961876
2016-03-11 03:00:00+00:00,8.0,21.301,90.60315
2016-03-11 04:00:00+00:00,8.0,20.851,92.27832
2016-03-11 05:00:00+00:00,3.0,20.651001,93.42144
2016-03-11 06:00:00+00:00,4.0,20.551,93.707375
2016-03-11 07:00:00+00:00,8.0,20.601,95.47047
2016-03-11 08:00:00+00:00,3.0,20.551,95.76517
2016-03-11 09:00:00+00:00,4.0,20.451,96.35763
2016-03-11 10:00:00+00:00,2.0,20.601,95.47047
2016-03-11 11:00:00+00:00,6.0,21.101,92.00662
2016-03-11 12:00:00+00:00,10.0,21.801,88.42002
2016-03-11 13:00:00+00:00,6.0,22.101,89.268776
2016-03-11 14:00:00+00:00,12.0,22.551,89.85465
2016-03-11 15:00:00+00:00,13.0,23.201,84.28181
2016-03-11 16:00:00+00:00,4.0,23.301,85.60119
2016-03-11 17:00:00+00:00,9.0,23.451,82.7634
2016-03-11 18:00:00+00:00,6.0,23.751,81.53217
2016-03-11 19:00:00+00:00,10.0,24.401001,77.21004
2016-03-11 20:00:00+00:00,6.0,24.501,77.9438
2016-03-11 21:00:00+00:00,14.0,23.751,81.78412
2016-03-11 22:00:00+00:00,9.0,22.001,86.80728
2016-03-11 23:00:00+00:00,10.0,21.201,90.0353
2016-03-12 00:00:00+00:00,13.0,20.751,91.4157
2016-03-12 01:00:00+00:00,18.0,20.501,92.83479
2016-03-12 02:00:00+00:00,20.0,20.201,93.983444
2016-03-12 03:00:00+00:00,24.0,19.951,95.15168
2016-03-12 04:00:00+00:00,22.0,19.751,96.6391
2016-03-12 05:00:00+00:00,34.0,19.801,96.64035
2016-03-12 06:00:00+00:00,27.0,19.801,97.24371
2016-03-12 07:00:00+00:00,13.0,19.501,96.93473
2016-03-12 08:00:00+00:00,21.0,19.301,97.84227
2016-03-12 09:00:00+00:00,29.0,19.051,99.3781
2016-03-12 10:00:00+00:00,18.0,19.351,98.45516
2016-03-12 11:00:00+00:00,12.0,20.301,91.95988
2016-03-12 12:00:00+00:00,8.0,21.701,83.07275
2016-03-12 13:00:00+00:00,6.0,23.201,74.65746
2016-03-12 14:00:00+00:00,2.0,24.551,65.87578
2016-03-12 15:00:00+00:00,10.0,25.201,60.821262
2016-03-12 16:00:00+00:00,8.0,25.701,58.112965
2016-03-12 17:00:00+00:00,15.0,25.651001,58.10102
2016-03-12 18:00:00+00:00,20.0,24.801,62.88309
2016-03-12 19:00:00+00:00,18.0,24.101,66.40815
2016-03-12 20:00:00+00:00,18.0,22.501,76.92144
2016-03-12 21:00:00+00:00,10.0,20.501,89.42422
2016-03-12 22:00:00+00:00,12.0,19.251,93.94105
2016-03-12 23:00:00+00:00,5.0,18.651001,95.40421
2016-03-13 00:00:00+00:00,11.0,18.401001,95.69666
2016-03-13 01:00:00+00:00,10.0,18.101,95.084366
2016-03-13 02:00:00+00:00,12.0,17.851,95.678894
2016-03-13 03:00:00+00:00,8.0,17.651001,95.975945
2016-03-13 04:00:00+00:00,10.0,17.401001,96.88584
2016-03-13 05:00:00+00:00,13.0,17.201,96.88113
2016-03-13 06:00:00+00:00,8.0,17.201,96.57399
2016-03-13 07:00:00+00:00,9.0,16.901001,96.25923
2016-03-13 08:00:00+00:00,15.0,16.901001,96.25923
2016-03-13 09:00:00+00:00,10.0,16.801,96.87165
2016-03-13 10:00:00+00:00,8.0,17.251,94.75106
2016-03-13 11:00:00+00:00,6.0,18.751,85.133545
2016-03-13 12:00:00+00:00,13.0,20.201,77.79613
2016-03-13 13:00:00+00:00,13.0,21.451,72.49795
2016-03-13 14:00:00+00:00,18.0,22.501,68.000694
2016-03-13 15:00:00+00:00,18.0,23.201,66.011765
2016-03-13 16:00:00+00:00,21.0,23.151001,67.48534
2016-03-13 17:00:00+00:00,21.0,22.451,71.76167
2016-03-13 18:00:00+00:00,18.0,22.251,74.73505
2016-03-13 19:00:00+00:00,15.0,21.801,77.2997
2016-03-13 20:00:00+00:00,10.0,20.901001,82.19891
2016-03-13 21:00:00+00:00,12.0,19.951,87.16188
2016-03-13 22:00:00+00:00,12.0,19.101,91.60003
2016-03-13 23:00:00+00:00,8.0,18.751,93.918564
