time,MP2.5,temperature_2m,relative_humidity_2m,mes,hora,dia_semana,MP2.5_imputado_media
2016-03-09 06:00:00+00:00,14.0,20.601,97.86328,3,6,2,0
2016-03-09 07:00:00+00:00,17.0,20.401001,96.65539,3,7,2,0
2016-03-09 08:00:00+00:00,18.0,20.101,97.24995,3,8,2,0
2016-03-09 09:00:00+00:00,13.0,20.001,97.24787,3,9,2,0
2016-03-09 10:00:00+00:00,13.0,20.301,95.46038,3,10,2,0
2016-03-09 11:00:00+00:00,12.0,21.751,88.69048,3,11,2,0
2016-03-09 12:00:00+00:00,17.0,23.951,79.077835,3,12,2,0
2016-03-09 13:00:00+00:00,17.0,25.951,70.185585,3,13,2,0
2016-03-09 14:00:00+00:00,20.0,27.301,61.681206,3,14,2,0
2016-03-09 15:00:00+00:00,17.0,28.001,57.390415,3,15,2,0
2016-03-09 16:00:00+00:00,15.0,28.201,56.020565,3,16,2,0
2016-03-09 17:00:00+00:00,17.0,28.251,55.683228,3,17,2,0
2016-03-09 18:00:00+00:00,14.0,27.651001,58.575226,3,18,2,0
2016-03-09 19:00:00+00:00,24.0,27.951,57.199383,3,19,2,0
2016-03-09 20:00:00+00:00,21.0,26.701,62.515274,3,20,2,0
2016-03-09 21:00:00+00:00,18.0,25.851,71.04045,3,21,2,0
2016-03-09 22:00:00+00:00,14.0,24.651001,79.41948,3,22,2,0
2016-03-09 23:00:00+00:00,20.0,23.751,84.8613,3,23,2,0
2016-03-10 00:00:00+00:00,27.0,23.201,89.62683,3,0,3,0
2016-03-10 01:00:00+00:00,45.0,22.701,92.94892,3,1,3,0
2016-03-10 02:00:00+00:00,48.0,22.201,95.231735,3,2,3,0
2016-03-10 03:00:00+00:00,53.0,21.901001,96.396706,3,3,3,0
2016-03-10 04:00:00+00:00,48.0,21.451,96.979126,3,4,3,0
2016-03-10 05:00:00+00:00,46.0,21.251,96.379265,3,5,3,0
2016-03-10 06:00:00+00:00,10.0,20.951,94.60046,3,6,3,0
2016-03-10 07:00:00+00:00,12.0,21.451,88.94212,3,7,3,0
2016-03-10 08:00:00+00:00,3.0,21.501,83.83265,3,8,3,0
2016-03-10 09:00:00+00:00,7.0,21.401001,80.72456,3,9,3,0
2016-03-10 10:00:00+00:00,18.0,22.101,75.897934,3,10,3,0
2016-03-10 11:00:00+00:00,8.0,23.801,70.22027,3,11,3,0
2016-03-10 12:00:00+00:00,11.0,24.751,67.80612,3,12,3,0
2016-03-10 13:00:00+00:00,18.0,25.701,66.52796,3,13,3,0
2016-03-10 14:00:00+00:00,14.0,26.601,64.0716,3,14,3,0
2016-03-10 15:00:00+00:00,12.0,26.501,64.45035,3,15,3,0
2016-03-10 16:00:00+00:00,9.0,27.001,64.75711,3,16,3,0
2016-03-10 17:00:00+00:00,16.0,26.601,66.50483,3,17,3,0
2016-03-10 18:00:00+00:00,12.0,26.701,67.353714,3,18,3,0
2016-03-10 19:00:00+00:00,7.0,26.001,70.41227,3,19,3,0
2016-03-10 20:00:00+00:00,11.0,24.951,75.876205,3,20,3,0
2016-03-10 21:00:00+00:00,13.0,23.801,79.547775,3,21,3,0
2016-03-10 22:00:00+00:00,19.0,22.901001,83.212364,3,22,3,0
2016-03-10 23:00:00+00:00,9.0,22.401001,85.775764,3,23,3,0
2016-03-11 00:00:00+00:00,9.0,22.201,86.82588,3,0,4,0
2016-03-11 01:00:00+00:00,14.0,21.951,87.34292,3,1,4,0
2016-03-11 02:00:00+00:00,7.0,21.701,88.961876,3,2,4,0
2016-03-11 03:00:00+00:00,8.0,21.301,90.60315,3,3,4,0
2016-03-11 04:00:00+00:00,8.0,20.851,92.27832,3,4,4,0
2016-03-11 05:00:00+00:00,3.0,20.651001,93.42144,3,5,4,0
2016-03-11 06:00:00+00:00,4.0,20.551,93.707375,3,6,4,0
2016-03-11 07:00:00+00:00,8.0,20.601,95.47047,3,7,4,0
2016-03-11 08:00:00+00:00,3.0,20.551,95.76517,3,8,4,0
2016-03-11 09:00:00+00:00,4.0,20.451,96.35763,3,9,4,0
2016-03-11 10:00:00+00:00,2.0,20.601,95.47047,3,10,4,0
2016-03-11 11:00:00+00:00,6.0,21.101,92.00662,3,11,4,0
2016-03-11 12:00:00+00:00,10.0,21.801,88.42002,3,12,4,0
2016-03-11 13:00:00+00:00,6.0,22.101,89.268776,3,13,4,0
2016-03-11 14:00:00+00:00,12.0,22.551,89.85465,3,14,4,0
2016-03-11 15:00:00+00:00,13.0,23.201,84.28181,3,15,4,0
2016-03-11 16:00:00+00:00,4.0,23.301,85.60119,3,16,4,0
2016-03-11 17:00:00+00:00,9.0,23.451,82.7634,3,17,4,0
2016-03-11 18:00:00+00:00,6.0,23.751,81.53217,3,18,4,0
2016-03-11 19:00:00+00:00,10.0,24.401001,77.21004,3,19,4,0
2016-03-11 20:00:00+00:00,6.0,24.501,77.9438,3,20,4,0
2016-03-11 21:00:00+00:00,14.0,23.751,81.78412,3,21,4,0
2016-03-11 22:00:00+00:00,9.0,22.001,86.80728,3,22,4,0
2016-03-11 23:00:00+00:00,10.0,21.201,90.0353,3,23,4,0
2016-03-12 00:00:00+00:00,13.0,20.751,91.4157,3,0,5,0
2016-03-12 01:00:00+00:00,18.0,20.501,92.83479,3,1,5,0
2016-03-12 02:00:00+00:00,20.0,20.201,93.983444,3,2,5,0
2016-03-12 03:00:00+00:00,24.0,19.951,95.15168,3,3,5,0
2016-03-12 04:00:00+00:00,22.0,19.751,96.6391,3,4,5,0
2016-03-12 05:00:00+00:00,34.0,19.801,96.64035,3,5,5,0
2016-03-12 06:00:00+00:00,27.0,19.801,97.24371,3,6,5,0
2016-03-12 07:00:00+00:00,13.0,19.501,96.93473,3,7,5,0
2016-03-12 08:00:00+00:00,21.0,19.301,97.84227,3,8,5,0
2016-03-12 09:00:00+00:00,29.0,19.051,99.3781,3,9,5,0
2016-03-12 10:00:00+00:00,18.0,19.351,98.45516,3,10,5,0
2016-03-12 11:00:00+00:00,12.0,20.301,91.95988,3,11,5,0
2016-03-12 12:00:00+00:00,8.0,21.701,83.07275,3,12,5,0
2016-03-12 13:00:00+00:00,6.0,23.201,74.65746,3,13,5,0
2016-03-12 14:00:00+00:00,2.0,24.551,65.87578,3,14,5,0
2016-03-12 15:00:00+00:00,10.0,25.201,60.821262,3,15,5,0
2016-03-12 16:00:00+00:00,8.0,25.701,58.112965,3,16,5,0
2016-03-12 17:00:00+00:00,15.0,25.651001,58.10102,3,17,5,0
2016-03-12 18:00:00+00:00,20.0,24.801,62.88309,3,18,5,0
2016-03-12 19:00:00+00:00,18.0,24.101,66.40815,3,19,5,0
2016-03-12 20:00:00+00:00,18.0,22.501,76.92144,3,20,5,0
2016-03-12 21:00:00+00:00,10.0,20.501,89.42422,3,21,5,0
2016-03-12 22:00:00+00:00,12.0,19.251,93.94105,3,22,5,0
2016-03-12 23:00:00+00:00,5.0,18.651001,95.40421,3,23,5,0
2016-03-13 00:00:00+00:00,11.0,18.401001,95.69666,3,0,6,0
2016-03-13 01:00:00+00:00,10.0,18.101,95.084366,3,1,6,0
2016-03-13 02:00:00+00:00,12.0,17.851,95.678894,3,2,6,0
